ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
d2 0.010000 0.011726 StepDown 980.000000 980.272298
d2 0.010000 0.016995 StepDown 965.000000 969.269241
d2 0.010000 0.089539 StepDown 955.000000 957.265907
d2 0.010000 0.093248 StepDown 955.000000 957.265907
d2 0.010000 0.059392 StepDown 960.000000 957.265907
d2 0.010000 0.027379 StepDown 960.000000 962.267296
d2 0.010000 0.016066 StepDown 970.000000 971.269797
d2 0.010000 0.025487 StepDown 965.000000 963.267574
d2 0.010000 0.002223 StepDown 1150.000000 1150.319533
d2 0.010000 0.003076 StepDown 1100.000000 1099.305363
d2 0.010000 0.003410 StepDown 1085.000000 1084.301195
d2 0.010000 0.067924 StepDown 955.000000 957.265907
d2 0.010000 0.015335 StepDown 975.000000 971.269797
d2 0.010000 0.086447 StepDown 960.000000 957.265907
d2 0.010000 0.076423 StepDown 960.000000 958.266185
d2 0.010000 0.078314 StepDown 960.000000 957.265907
d2 0.010000 0.036300 StepDown 960.000000 960.266741
d2 0.010000 0.057009 StepDown 960.000000 958.266185
d2 0.010000 0.065117 StepDown 955.000000 958.266185
d2 0.010000 0.056940 StepDown 960.000000 958.266185
d2 0.010000 0.009616 StepDown 985.000000 989.274799
d2 0.010000 0.055514 StepDown 960.000000 957.265907
d2 0.010000 0.003950 StepDown 1065.000000 1065.295916
d2 0.010000 0.093005 StepDown 955.000000 957.265907
d2 0.010000 0.056527 StepDown 960.000000 958.266185
d2 0.010000 0.004890 StepDown 1040.000000 1040.288969
d2 0.010000 0.058158 StepDown 960.000000 958.266185
d2 0.010000 0.058382 StepDown 960.000000 958.266185
d2 0.010000 0.008602 StepDown 995.000000 994.276188
d2 0.010000 0.021972 StepDown 965.000000 964.267852
d2 0.010000 0.085722 StepDown 960.000000 957.265907
d2 0.010000 0.049646 StepDown 960.000000 959.266463
d2 0.010000 0.021368 StepDown 965.000000 965.268130
d2 0.010000 0.090427 StepDown 955.000000 958.266185
d2 0.010000 0.093621 StepDown 955.000000 957.265907
d2 0.010000 0.019116 StepDown 965.000000 967.268686
d2 0.010000 0.089410 StepDown 955.000000 957.265907
d2 0.010000 0.062269 StepDown 955.000000 958.266185
d2 0.010000 0.077945 StepDown 960.000000 957.265907
d2 0.010000 0.020783 StepDown 965.000000 965.268130
d2 0.010000 0.036762 StepDown 960.000000 959.266463
d2 0.010000 0.049628 StepDown 955.000000 959.266463
d2 0.010000 0.079226 StepDown 960.000000 957.265907
d2 0.010000 0.060856 StepDown 955.000000 958.266185
d2 0.010000 0.001775 StepDown 1190.000000 1189.330370
d2 0.010000 0.008697 StepDown 995.000000 994.276188
